step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
87,0,0.469545,0.000000,0.754021,9.87e-05,0.1029,0.04,
88,0,0.474182,0.000000,0.755633,9.86e-05,0.1316,0.04,
89,0,0.469719,0.000000,0.758736,9.85e-05,0.1137,0.04,
90,0,0.465876,0.000000,0.720566,9.84e-05,0.1217,0.04,
91,0,0.469238,0.000000,0.756011,9.83e-05,0.1345,0.04,
92,0,0.470897,0.000000,0.740529,9.82e-05,0.0986,0.04,
93,0,0.464391,0.000000,0.769273,9.81e-05,0.1292,0.04,
94,0,0.475421,0.000000,0.736684,9.80e-05,0.1256,0.04,
95,0,0.469376,0.000000,0.755171,9.79e-05,0.1047,0.04,
96,0,0.479619,0.000000,0.775074,9.78e-05,0.1205,0.04,
97,0,0.460204,0.000000,0.753776,9.77e-05,0.1492,0.04,
98,0,0.472825,0.000000,0.780150,9.76e-05,0.2488,0.04,
99,0,0.466587,0.000000,0.780916,9.75e-05,0.1590,0.04,
100,0,0.478143,0.000000,0.781163,9.74e-05,0.1640,0.04,
101,0,0.473270,0.000000,0.798010,9.73e-05,0.1794,0.04,
102,0,0.488529,0.000000,0.741135,9.71e-05,0.1405,0.03,
103,0,0.482115,0.000000,0.721534,9.70e-05,0.1318,0.04,
104,0,0.477446,0.000000,0.759718,9.69e-05,0.3228,0.04,
105,0,0.462549,0.000000,0.730767,9.68e-05,0.1532,0.04,
106,0,0.462144,0.000000,0.724835,9.66e-05,0.1742,0.04,
107,0,0.464495,0.000000,0.742496,9.65e-05,0.2621,0.04,
108,0,0.463333,0.000000,0.735203,9.64e-05,0.1252,0.04,
109,0,0.468565,0.000000,0.701733,9.62e-05,0.1114,0.04,
110,0,0.466663,0.000000,0.748262,9.61e-05,0.1434,0.04,
111,0,0.456893,0.000000,0.690887,9.59e-05,0.2968,0.04,
112,0,0.470595,0.000000,0.714895,9.58e-05,0.1058,0.04,
113,0,0.469743,0.000000,0.715394,9.56e-05,0.1146,0.04,
114,0,0.461766,0.000000,0.736956,9.55e-05,0.1286,0.04,
115,0,0.463936,0.000000,0.681482,9.53e-05,0.1082,0.04,
116,0,0.461517,0.000000,0.704295,9.52e-05,0.1459,0.04,
117,0,0.460551,0.000000,0.720554,9.50e-05,0.1139,0.04,
118,0,0.458574,0.000000,0.687502,9.48e-05,0.1321,0.04,
119,0,0.464145,0.000000,0.704920,9.47e-05,0.1157,0.04,
119,0,,,,,,,0.466803
120,0,0.472673,0.000000,0.751026,9.45e-05,0.1392,0.00,
121,0,0.463911,0.000000,0.716938,9.43e-05,0.1783,0.01,
122,0,0.463695,0.000000,0.720005,9.42e-05,0.1180,0.04,
123,0,0.458425,0.000000,0.677372,9.40e-05,0.1312,0.04,
124,0,0.467262,0.000000,0.687740,9.38e-05,0.1356,0.04,
125,0,0.456365,0.000000,0.671121,9.36e-05,0.1654,0.04,
126,0,0.478436,0.000000,0.699602,9.35e-05,0.1287,0.04,
127,0,0.461621,0.000000,0.672828,9.33e-05,0.1446,0.04,
128,0,0.482214,0.000000,0.725902,9.31e-05,0.1750,0.04,
129,0,0.465430,0.000000,0.723962,9.29e-05,0.2121,0.04,
130,0,0.467642,0.000000,0.700527,9.27e-05,0.1156,0.04,
131,0,0.465377,0.000000,0.712137,9.25e-05,0.1249,0.04,
132,0,0.471444,0.000000,0.752926,9.23e-05,0.1585,0.04,
133,0,0.472338,0.000000,0.733169,9.21e-05,0.2020,0.04,
134,0,0.472949,0.000000,0.733210,9.19e-05,0.2824,0.04,
135,0,0.470900,0.000000,0.678355,9.17e-05,0.1759,0.04,
136,0,0.463219,0.000000,0.698100,9.15e-05,0.1583,0.04,
137,0,0.457768,0.000000,0.686023,9.13e-05,0.2073,0.04,
138,0,0.455861,0.000000,0.673551,9.11e-05,0.1276,0.04,
139,0,0.466248,0.000000,0.676541,9.09e-05,0.1583,0.04,
140,0,0.478448,0.000000,0.694463,9.07e-05,0.1301,0.04,
141,0,0.460617,0.000000,0.671641,9.05e-05,0.1227,0.04,
142,0,0.460784,0.000000,0.685597,9.02e-05,0.1290,0.04,
143,0,0.459411,0.000000,0.690450,9.00e-05,0.1227,0.03,
