step,epoch,loss_jepa,loss_drift,loss_total,loss_multi_task,loss_motion_aux,lr,grad_norm,throughput,val_loss,stage
17,0,,,,,,,,,4.060864,stage0_head_only_DI
20,0,,0,2.889839,,2.889839,4.396895e-04,,,,stage0_head_only_DI
34,0,,,,,,,,,3.104519,stage0_head_only_DI
40,1,,0,3.163926,,3.163926,2.121431e-04,,,,stage0_head_only_DI
51,1,,,,,,,,,3.043084,stage0_head_only_DI
60,1,,0,2.922025,,2.922025,5.000000e-05,,,,stage0_head_only_DI
68,1,,,,,,,,,2.937749,stage0_head_only_DI
